CATEGORY,COMPLAINT
Scheduling and Management Issue,There are no free slots if we want to arrange makeup class.
Scheduling and Management Issue,I wanted to improve a course but couldn't due to full clash of timings in all the section of that subject.
Network Issue,The university internet doesn't work or it is often slow.
Hardware Issue,The projectors don't get connected to every type of laptop.
Hardware Issue,The projector often doesn't work in class 304.
Software Issue,Our student portal isn't strong enough and many students hack it to increase their marks.
Maintenance and Cleaning Issue,Washrooms are not properly cleaned.
Maintenance and Cleaning Issue,"In evening time, classes are very filthy."
Scheduling and Management Issue,Gate 1 is closed which makes us walk more and we are not even informed about the reason
Maintenance and Cleaning Issue,Washrooms of N-block are very filthy.
Hardware Issue,Watercoolers of N-block and BBA department don't work properly.
Hardware Issue,Air conditioners don't work in summer.
Scheduling and Management Issue,There are no heaters in majority of the classes.
Hardware Issue,Neither air conditioners work nor there are fans in many classes which makes harder to survive in summers.
Scheduling and Management Issue,"All the buses arrive either at 7:30 am or 10:30 am, so the students have to come early even if they have classes in evening."
Scheduling and Management Issue,Buses timings are not beneficial for everyone.
Scheduling and Management Issue,Food quantity is also very low.
Scheduling and Management Issue,"Printers are now only in café, so there is a huge line if you want to print out something."
Maintenance and Cleaning Issue,Food quality is also not good.
Hardware Issue,"There is a power issue in the room 110, there is no electricity being supplied which means no lights or fans are working. Not even the projector."
Maintenance and Cleaning Issue,"Bathroom is very dirty on second floor, there is also a water leakage"
Network Issue,Internet is not working on my university provided laptop
Software Issue,the portal is stuck when I try to log in to it
Maintenance and Cleaning Issue,Heaters are not working in room 210.
Hardware issue,Many presentation rooms don't have hdmi cable. So we caanot connect our laptops to the projectors.
Scheduling and Management Issue,We are not allowed to use gate 1
Network Issue,The mongoDB is blocked in the university internet
Maintenance and Cleaning Issue,The coolers are very dirty
Hardware Issue,The speakers in the room G08 is not working
Hardware Issue,Many ethernet cables in project lab are not working.
Scheduling and Management Issue,There is no proper place for keeping bags in the library.
Hardware Issue,Cameras in the main gates are not working.
Maintenance and Cleaning Issue,Chairs in the project lab are not comfortable. We cannot work for long time.
Hardware Issue,There are no charging ports in the classrooms. We cannot charge our laptops.
Hardware Issue,PCs in the labs are very slow. They take too much time to open.
Hardware Issue,Charging ports in the area near teachers rooms are not working.
Hardware Issue,ATM machines are not working in the student affairs building.
Network Issue,Wifi is not working in the café
Scheduling and Management Issue,There are very limited rackets in the sport area
Scheduling and Management Issue,There is no area for playing football.
Hardware Issue,Water cooler in ground floor of CS is not working.
Maintenance and Cleaning Issue,The roof of the washroom in first floor of CS is leaking.
Hardware Issue,PCs in CL8 don't have softwares that we need for completing our tasks.
Hardware Issue,PCs in CL5 are outdated. They are very slow.
Network Issue,Internet is extremely slow and some mobile network signals are also weak in the department due to which students face issues during presentation.
Hardware Issue,Lift in the department are mostly out of service which cause inconvinince for people.
Hardware Issue,Heater of room 205 is not working.
Hardware Issue,Fans in room 108 are not working
Scheduling and Management Issue,No generator system for the café during loadshedding
Scheduling and Management Issue,It takes a lot of time to get one thing from café because only one person is their on the counter to take order.
Scheduling and Management Issue,no printer in any department
Network Issue,No internet in lab 6 that’s why it's diffcult to work on system and upload assignments
Maintenance and Cleaning Issue,seats are uncomfortable and in room 105 some seats are broken.
Hardware Issue,sockets not working in room 110
Maintenance and Cleaning Issue,pipe broken in 1st floor washroom causing leakage.
Scheduling and Management Issue,No cameras outside of main entrance of library.
Maintenance and Cleaning Issue,Half of the Whiteboard is broken of class 112.
Hardware Issue,class room changed because of projector not working but class attendant don't know that and thinks teacher is not taking the class.
Scheduling and Management Issue,No hostels for boys available.
Scheduling and Management Issue,Hostel for girls is so small that only small number of students can avail the facility and rest have to look for hostels outside.
Hardware Issue,Systems processor are too outdated in most of the labs of department.
Maintenance and Cleaning Issue,seats in all classrooms needs to be repaired.
Maintenance and Cleaning Issue,Walls of 112 having drawings on them made by students.
Scheduling and Management Issue,No auditorium in whole university to have a big event.
Hardware Issue,Old projectors are too slow mostly not working .
Maintenance and Cleaning Issue,Some seats are completely broken or screws are hanging which can injur anyone.
Scheduling and Management Issue,No printer available in department.
Maintenance and Cleaning Issue,no one to keep check if students are eating meals inside classroom and leavng the mess there.
Scheduling and Management Issue,no common rooms for students if they want to sit in deparmtent in free time.
Scheduling and Management Issue,no consulting available for students who are not sure with credit hours they are done with or picking new courses.
Scheduling and Management Issue,only one teacher available for most core courses of the degree.
Hardware Issue,mics not working during seminar in hall G-08
Scheduling and Management Issue,Lab attendants don't have knowledge of softwares needed by students to work on during the semester.
Scheduling and Management Issue,No football available in sports complex office.
Hardware Issue,water cooler not working on second floor
Maintenance and Cleaning Issue,windows not opening in room 206.
Maintenance and Cleaning Issue,class room 211 was not cleaned before closing .
Hardware Issue,mounted fans are not working in most of the classes.
Scheduling and Management Issue,terminal date sheet is not made by keeping in mind the course repeaters and some students have too exams on same day.
Maintenance and Cleaning Issue,no dustbin in front of tuck shop on ground floor.
Maintenance and Cleaning Issue,Chairs are broken in many labs. They need to be replaced.
Network Issue,There are often no internet in the labs so we cannot do our lab assignments.
Hardware Issue,The AC of cl8 is not working and the lab was very hot during the summer season.
Network Issue,MongoDb is blocked on ethernet so we cannot connect to mongoDb while using ethernet.
Hardware Issue,The heating system of G08 is not working.
Scheduling and Management Issue,There is no football ground. So the students often play in basketball court.
Scheduling and Management Issue,There are not enough equipment for the students to play
Maintenance and Cleaning Issue,The water coolers are placed outside of the washrooms. Their places should be changed.
Hardware Issue,Pcs in the labs are very outdated they need to be updated.
Software Issue,The cms portal doesn't open on result day due to heavy load.
Software Issue,The Fyp portal is not user friendly and it is very hard to understand.
Software Issue,The website is not user-friendly.
Maintenance and Cleaning Issue,The computer labs are not well-maintained and have outdated equipment
Software Issue,The learning management system (LMS) is not reliable and often experiences downtime
Maintenance and Cleaning Issue,There is excavation work being done outside the CS department since quite a while. There has been digging done in the lawn that has resulted in an overall ugly aesthetic. The walk from the entrance to the department is hindered.
